,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
2804,Nữ,Hoa Binh,mình khá ít nói cũng như là hướng nội hướng ngoại nhung thích ở một mình linh hoạt,bị dị ứng hải sản có vỏ món ăn health thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua thịt nướng phở); thức uống: nước có ga,đi từ thiện cờ vua thích xem phim,Có,có chung sở thích học tốt vui vẻ hoà đồng tiền bạc rạch ròi,8,8
194,Nam,Ca Mau,mình là một người hướng ngoại,hơi kén ăn 1 chút phở xào đồ nhướng,bị người ta lùa gà thích chơi cầu lông đi ăn học ngoại ngữ tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,không,để cùng nhau nói chuyện sẻ chia ko ồn ào với phá phách là được trầm tính học giỏi hoạt bát,9,7
7698,Nữ,Ninh Thuan,thích gọn gàng bán hướng nội ambivert người đang học trường fpt hoạt bát,"đậu hũ cà chua. trà sữa cơm tấm sườn bì chả mì redbull
không thích cafe gói",công nghệ thích hút thuốc phim truyền hình tiền chiêm tinh,không,tôn trọng không gian chung,7,10
1419,Nam,An Giang,"rụt rè thích sạch sẽ mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự thích ở một mình- lúc thích nói chuyện nhiều người",bò nướng mì xào,trò chơi điện tử ko thích bị ép buộc,không,phát triển bản thân là người vui tính,8,9
3851,Nam,Lao Cai,có quy tắc riêng,lẩu chay đồ cay thích đồ chiên mì xào,android,không,cùng chuyên ngành/ sở thích dễ chịu ko ồn ào với phá phách là được đừng quá ồn ào hay ham chơi,8,8
8189,Nam,Dong Thap,nóng nảy - ưu tư độc lập lười làm việc nhà thích làm việc thích đi chơi cùng những người bạn thân thiết,ăn đồ ăn nhanh vị đậm đà😋 các món nhiều gia vị cơm,bơi lội thích khám phá xung quanh,không,năng động mong muốn có một người thích đánh cờ,8,8
8679,Nữ,Bac Giang,mình là người áp dụng công nghệ mới,0 độ thích caffee đồ nướng nước ngọt có ga đốc cơ thanh .,tiếng anh yoga thích đồ ăn nhạt,không,sạch sẽ tính khôn lỏi,8,7
52,Nam,Bac Lieu,hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao chỉ thích ngủ một mình,bánh chocopie mình ăn thích ăn đồ healthy,tiêu tiền. cafe khoa học coi phim hoạt hình,không,vui vẻ hoà đồn thân thiện tôn trọng lẫn nhau sạch sẽ,8,9
8519,Nữ,Gia Lai,hướng trung khó giao tiếp linh hoạt khác trầm,ăn vặt mì cay trà sữa mì các loại,chơi bóng rổ xem phim đặc biệt là thích nhạc của sơn tùng m-tp xem tin tức công nghệ học ngoại ngữ,không,vui hoà dồng ý thức người hòa đồng,10,7
9311,Nam,Ben Tre,hướng nội khi không có ai riêng tư kiểu người dễ chịu,không uống nước ngọt có ga gà jollibee,chơi thể thao âm nhạc,không,biết cách giúp đỡ trong những hoàn cảnh éo le( không nhất thiết cùng quê ) người nào cũng được nhưng biết giữ không gian riêng tư cho đối phương có chung sở thích,6,9
1988,Nam,Khanh Hoa,cần nhiều riêng tư hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao thích giáo tiếp với nhiều người,dưa hấu vị đậm đà😋,đi cắm trại thích đi du lịch,Có,có ý thức giữ vệ sinh chung,9,10
8783,Nữ,Nam Dinh ,chỉ thích ngủ một mình cũng hơi hướng ngoại vui vẻ… thích đi chơi cùng những người bạn thân thiết,lẩu thái đồ chiên,phong thủy nấu ăn cờ tướng thích bơi tám chuyện,không,sinh hoạt cú đêm giống mình hihi ngay thẳng,7,7
1777,Nam,Lao Cai,cũng hơi hướng ngoại thích đi lang thang một mình tốt bụng,mình thích trà bí đao ngô gia trà olong xoài lắc ... thật ra thì ngoại trừ rau cần,phim hành động,không,respect private space and friendly is good,9,8
8379,Nam,Lao Cai,thích vui là một người nhiệt tình,.... thịt sườn,ko thích bị ép buộc bóng đá e thik chơi cầu lông xem phim,không,tự giác tính khôn lỏi người ngay thẳng tôn trọng mình ở sách không bừa bộn,6,8
89,Nữ,Vinh Long,mình là dễ gần khá vui vẻ hướng nội nhưng thích đi chơi,cơm tấm long xuyên snack khoai tây ham bơ gơ,kiếm tiền,không,chung gu giải trí ngay thẳng ocd càng tốt. không quá tính toán hơn thua cùng ngành,8,9
9603,Nữ,Phu Tho,thích tự do thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng khó bắt chuyện với người lạ yêu thiên nhiên,mì gói,âm nhạc nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster đi tập thể dục thích đồ ăn nhạt,không,bất kỳ ngành nào cũng được người hòa đồng không có ạ người ít nói có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe.,8,10
6061,Nữ,Binh Duong,thích khám phá,ăn được đồ nặng mùi,truyện du lịch cùng bạn,không,không quá ồn ào học giỏi sạch gọn trưởng thành,1,5
8618,Nam,Dak Nong,bán hướng nội ambivert đôi lúc hướng ngoại hiếm khi thấy vui thích tự do,o mỗi buổi sáng mùi hương (hành tỏi tiêu ớt sả đầy đủ),bói tử vi lưới fb,không,cùng tần số với mình :)))). thật thà tôn trọng không gian chung,6,7
4523,Nam,Phu Yen,hướng trung (ambivert) lúc thích một mình thích coi phim tốt bụng,gà nói chung mỳ quảng chè bưởi,đá cầu,không,miễn bạn cùng phòng biết nói chuyện là được :) có ý thức,6,9
1495,Nam,Ha Tinh, một người hoà đồng thích vui vẻ là một người hướng nội,cá dồ kho thích ăn cay nước lọc trứng,âm nhạc chơi vape ngủ,không,sạch sẽ ngăn nắp,8,7
5866,Nữ,Thanh Hoa,hoà đồng nhưng cũng thích ở một mình hướng ngoại part-time,coffee chill chả giò bún đậu,vận động thể lực (nhẹ) coi phim hoạt hình chạy xe ngôn ngữ kpop,không,lanh lợi .. k ồn sau 11h trúa hề,10,8
3335,Nữ,Binh Thuan,ngoại hướng ngoài. bạo lọan,sữa của các hạt đậu bánh cam,đọc truyện viết code đọc sách.. hóng drama các chương trình giải trí chạy bộ,không,áp đặt sở thích cầu tiến,7,8
9710,Nam,Lao Cai,là một người hướng ngoại nói nhiều là một người thiếu ngủ,bánh ướt pepsi vị chanh không calo,edit lướt mxh thích đồ ăn nhạt,Có,tốt bụng freedom trầm tính ít nói nữa thì quá tuyệt vời,7,9
395,Nữ,Ha Tinh,là một người ít nói là một người thiếu ngủ thích tìm hiểu những điều bí ẩn hiền hoà nói nhiều hướng ngoại thích đi đây đó,thức ăn có vị cay nước trà các thế loại mì coca cola…,tin khoa học đông y ca hát,không,ý kiến của mình lên bạn cùng phòng không vô duyên rõ ràng,8,7
2500,Nữ,Quang Ngai,bạn bè.,sữa milo,đánh cờ vua thường hay quan tâm những tin tức về nó thích đồ ăn nhạt,không,có chừng mực - vui vẻ ai đó chịu chơi ngu với t sạch gọn gọn gàng.,5,8
5750,Nam,Lao Cai,ko thích đi chơi thích cứ gái cọc cằn trung lập một người hướng ngoại làm biếng,đồ ăn ngọt coca rau má mix mì quảng,chơi cầu lông thích tiếng anh,Có,ai đó chịu chơi ngu với t người kiên định không ba phải hùa theo đám đồng,10,7
7121,Nữ,An Giang,sạch sẽ là một người hướng ngoại nói nhiều sáng nắng chiều mưa ở giữa hướng nội,fastfood đi ăn với bạn bún rêu,...,không,trầm tính ít nói nữa thì quá tuyệt vời ngăn nắp. biết tuân thủ lợi ích chung. người có tính cách vui vẻ học tốt vui tính hòa đồng,8,8
8522,Nữ,Quang Ngai,thích đi ra quán cafe để học bài ít nói nhiều lạc quan năng động không phải hướng nội nhưng không thích chỗ đông người không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì,thức ăn chill bánh mì kẹp bimbim,phim truyền hình,không,thíc người hay nấu ăn biết mặc cả =)) vì mình ko biết mặc cả hihi,9,8
3074,Nam,Kien Giang,ít bạn lắng nghe bình thường 🤤,trà dâu bún rêu,... thích ngủ dọn dẹp xem tv series lướt mxh,không,hiền lành chung ngành học trách nhiệm thíc người hay nấu ăn biết mặc cả =)) vì mình ko biết mặc cả hihi khong co,5,10
2585,Nam,Ben Tre,thích tìm hiểu tình cảm ngoại,sữa trái cây chỉ cần không cay là được coffee chill các loại bánh ngọt,hội hoạ thik chạy bộ cũng không biết thích gì,không,tâm lý dễ gần,10,9
2859,Nam,Ha Tinh,hay giận vu vơ hướng nội khi không có ai,trứng cơm chiên mình thích ăn các loại đồ ngọt,tiếng anh... bóng đá,không,ai đó chịu chơi ngu với t mình thích ở 1 mình thôi 😶 vui tính trung thực thật lòng,9,8
8401,Nữ,Ha Giang,hướng nội ít nói thik ở một mình,thức ăn gì ngon đều yêu thích cá dồ kho ăn đồ cay,âm nhạc,không,giàu sinh hoạt cú đêm giống mình hihi không quậy phá không tệ nạn,9,10
7984,Nữ,Thanh Hoa,vui vẻ hoà đồng không thích nói nhiều hướng ngoại thích giao tiếp vui vẻ hoà đồng nói nhiều ở nhà hướng nội ra đường hướng ngoại 🙄,hải sản cơm trộn tắc mi tom, đàn hát,không,đáng tin cậy hiền hòa có ý thức giữ vệ sinh chung giàu có,3,5
1017,Nam,Bac Lieu,là 1 ng ít nói hướng nội cà thích ở 1 mình sợ xã hội,mùi hương (hành tỏi tiêu ớt sả đầy đủ),học coi anime thích đọc truyện phim hoạt hình,không,không nói xấu sau lưng luôn ham học hỏi trưởng thành ai kiềm t việc t chơi ngu sạch sẽ hoà đồng vui vẻ trung thực,10,5
8856,Nữ,Thai Binh,dễ tiếp xúc hiếm khi thấy vui tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình hướng ngoại part-time mình là một người hướng nội,bò né,học hỏi coi phim thích coi phim ko thích bị ép buộc,không,người biết lắng nghe sạch sẽ một chút ko so đo,8,9
8194,Nam,Lao Cai,vui vẻ… tìm người người làm đồ án tốt nghiệp chung. không thích ồn ào,trà đào,thích tranh biện nhảy dây thích khám phá xung quanh,không,miễn bạn cùng phòng biết nói chuyện là được :) mong muốn được ở cùng với người có sở thích khoa học với mình,8,10
2282,Nữ,Hung Yen,mê chơi đá gà thích nơi đông người vui vẻ... muốn một mình nhưng sợ cô đơn,mỳ hoành thánh đồ ăn nhà nấu,chơi cầu lông tiêu tiền. thiên văn học hít thở không khí trong lành ở công viên bị người ta lùa gà,không,năng động giống mình,10,9
5199,Nữ,Kien Giang,hướng nội thích không gian yên tĩnh í nói hướng nội thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra khó giao tiếp thích ở một mình.,"7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu hamburger sương sáo các thứ
food: cái gì cũng ăn được. thích rau mình thích ăn đồ ngon=))))
ăn chay hay ăn mặn gì cũng đc",esport thích tranh biện mầy mò linh kiện máy tính thích học thích code choi game,Có,gọn gàng. giao tiếp khéo léo không quá thô thiển,8,7
5110,Nữ,Hoa Binh,cống hiến hết mình thích đi đây đi đó trải nghiệm những thứ mới mẻ nhưng tùy hứng,bún ốc hoành thánh nước lọc mì cay trà sữa hơi kén ăn 1 chút,đánh cờ vua,Có,nhiều chuyện không tính toán với bạn cùng phòng khác.,7,8
3968,Nam,Kon Tum,hướng nội ít nói nhưng hoà đồng thân thiện hướng nội thích ở 1 mình áp dụng công nghệ mới,ăn pizza hủ tiếu …. thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua coca cola…,toán tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,Có,không tính toán với bạn cùng phòng khác. gọn gàng đáng tin cậy khắc kỷ hào phóng,10,10
5103,Nam,Ha Giang,thích đi chơi ở ngoài với bạn bè thích đám đông tùy lúc trung lập cực đoan,không uống nước ngọt có ga bánh . nước coca . mì cay... e thik các loại nước ngọt không có gas vd như nước yến,âm nhạc thích ngủ xem phim,không,biết lắng nghe/ tôn trọng lẫn nhau tôn trọng quyền riêng tư của mọi người,8,8
9411,Nam,Phu Tho,mình khá ít nói cũng như là hướng nội thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra,phở tôm chiên,thich chơi thể thao võ học toán ngắm bầu trời làm mô hình,không,có thể nói nhiều một chút phát triển bản thân có kỷ luật dễ thương,7,6
3864,Nam,Ninh Thuan,thích không gian riêng nhộn nhịp chung chung dành thời gian cho bản thân nhiều hơn. nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít logic,cơm chiên bánh bông lan dâu,mình thích đọc tiểu thuyết và truyện tranh e thik chơi cầu lông nhiếp ảnh đánh bóng bàn khoa học,không,gọn ràng sạch sẽ người vui vẻ nhường nhịn biết như thế nào là bất lịch sự tôn trọng quyền riêng tư của mọi người sạch sẽ một chút biết lắng nghe,8,8
9409,Nữ,An Giang,thích đám đông nhộn nhịp,no uống caffee đặc biệt là chè gà bánh canh, thích nhảy,không,không quậy phá sòng phẳng tiền bạc. giao tiếp khéo léo không quá thô thiển khắc kỷ,8,8
7992,Nam,Kon Tum,"có thể mời người ta đi ăn nếu vui mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự huong noi là người ít nói thích một mình",vị đậm đà😋,o buổi chiều cờ vua cà phê tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,không,ở sạch,7,8
3538,Nam,Lao Cai,o tập thể hướng nội tích cực ít nói với người lạ thích tham gia các hoạt động xã hội linh hoạt,"mình rất thích ăn đồ ăn cay mình thích ăn đồ ngon=))))
ăn chay hay ăn mặn gì cũng đc nước cam đồ chiên",tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,không,sòng phẳng tiền bạc. vui tính náo nhiệt thích đi chơi dễ thương không quậy phá,8,8
9066,Nữ,Tay Ninh,khá hướng nội. thích sạch sẽ,socola đá xay,chơi đàn piano học ngoại ngứ,không,chịu đi chơi với tôi,7,7
9884,Nữ,Dong Thap,vui vẻ…,"bún trộn trà sữaaaaa đồ cuốn
pepsi",sở thích của mình là thay vì thoát khỏi áp lực mình thích chạy bộ xem các show giải trí thực tế đu otp thích chơi suốt ngày,không,"nói nhiều một người hiểu biết rộng biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b sòng phẳng tiền bạc. có thể là người học mỹ thuật hay kinh tế",8,8
425,Nữ,Ca Mau,hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao,kem nui xào sữa đậu nành,viết lách đi cắm trại,không,bình thường vui vẻ hòa đồng chung ngành học dễ bắt chuyện,8,10
6963,Nữ,Phu Yen,là một người thiếu ngủ hướng nội part time không lười thì đi có hứng thì xác xe,ốc come gà các loại bạn gà phô mai hoặc các loại nước có gas,nhạc cụ thích hát thích khám phá xung quanh .. đi tập thể dục,không,hòa nhập mong muốn có một người bạn có cùng sở thích khám phá giống mình đừng quá bừa bộn thẳng tính đáng tin cậy,5,4
2662,Nữ,Thanh Hoa,lười giao tiếp... lúc này lúc kia cống hiến hết mình e là một người khá tự ti,bánh bông lan dâu bún thịt nướng,đọc truyện ngủ coi phim ăn e thik chơi cầu lông,không,biết quan tâm hiểu chuyện. giữ vệ sinh nhà cửa sạch sẽ ngành gì cũng được (khác ngành thì dễ nhờ hơn :>) người hướng ngoại,7,10
608,Nam,Ha Giang,nhưng vẫn hoà đồng hoạt bát là một người hướng nội thích ở một mình,cơm nước ngọt blahblah chỉ cần không cay là được cũng không biết nữa 😂,đá cầu lướt mxh anh văn ko thích bị ép buộc giải đố,không,khong co cởi mở biết đều ăn mặc ổn,8,8
6456,Nam,Binh Phuoc,tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình áp dụng công nghệ mới thích một mình,ngũ cốc,âm nhạc ( nghe nhạc) anh văn,không,ăn mặc ổn thích 1 mình,9,7
7844,Nữ,Binh Thuan,sáng nắng chiều mưa,thích uống trà sữa dưa hấu mỳ xào các món nhiều gia vị,môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính,không,siêng năng là người vui tính thích các hoạt động nhóm sinh hoạt cú đêm giống mình hihi trầm tính,9,10
5267,Nữ,Ha Giang,thích tìm hiểu những điều bí ẩn nhạy cảm vui vẻ…,lẩu kim chi no ăn cơm thích ăn gà,đi phượt chơi nhạc,không,hoà đồng hoạt bát sạch sẽ 1 người tốt bụng,8,8
3004,Nữ,Binh Phuoc,lowkey một người ít nói hướng nội hương ngoại nhưng khó kết bạn với hơi trầm,cá kho đồ bún phở việt nam xôi mặn lẩu bò,đánh bóng bàn đọc sách.. ngủ coi phim ăn phụ kiện công nghệ thích đi bộ,không,mình mong muốn được ở cùng một người thích tìm hiểu những điều mới lạ,7,7
2342,Nữ,Vinh Phuc,thích trò chuyện hoà đồng thích yên tĩnh nội tâm tùy lúc,olong xúc xích đồ bún phở việt nam,xem phim hàn trí tuệ như nhau nên điều đó cũng là một sự thú bị chơi cầu lông,không,v.v cá tính tinh ý,9,8
5043,Nữ,Ben Tre,ồn ào cá tính mạnh,cơm sườn uống caffee,phong thủy tin học chơi thích khoa học,không,"thống minh nói ít 
<3",8,7
9087,Nữ,Bac Lieu,thích tham gia các hoạt động xã hội người suy nghĩ nhiều,beer thích đồ ăn có trứng muối,chụp ảnh,Có,không quá kĩ tính hoà đồng hoạt bát sạch sẽ,8,10
7106,Nữ,Long An,ngăn nắp dù hay bày bừa (xong rồi dọn ngay) hoà đồng nhưng cũng thích ở một mình là một người nhiệt tình thích gọn gàng,rau củ,học tiếng anh ngoại ngữ,không,cùng sở thích hoạt bát thân thiên vui vẻ,8,7
575,Nam,Bac Lieu,nói rất nhiều hướng ngoại ít nói thích ở một mình một người hướng nội thích sự im lặng thích tự lập thân thiện,cơm trộn,thích xem phim chơi hame,không,giỏi quan tâm không khó tính vui tính hòa đồng đừng ham chơi 🤡 vì mình sẽ chơi cùng,6,8
9606,Nữ,Gia Lai,nhát bắt chuyện với người lạ là người dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. riêng tư cần nhiều riêng tư,cũm được,ăn uống,Có,không quá nóng tính,8,10
2457,Nữ,Binh Phuoc,thích đi chơi ở ngoài với bạn bè hoạt bát đôi lúc hướng ngoại hoà đồng ngăn nắp dù hay bày bừa (xong rồi dọn ngay),sữa đậu nành mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má hủ tiếu xào,toán học,Có,quan tâm mọi người,7,1
5809,Nữ,Soc Trang,hay giận vu vơ ở giữa hướng nội tích cực nóng nảy - ưu tư,nước trà (như c2 hũ tiếu thích ăn vặt,sự logic,không,có chừng mực - vui vẻ quan tâm mọi người tôn trọng quyền riêng tư của mọi người,6,7
4557,Nữ,Vung Tau,một người hoà đồng thích là người thích ở một mình là một người nhiệt tình,các đồ ăn hỗ trợ cho việc giảm cân thích uống trà sữa ạ :v gà thích caffee rau,thích đọc truyện,không,tiết kiệm một chút vui vẻ chân thật chung gu giải trí người vui vẻ nhường nhịn biết như thế nào là bất lịch sự,8,9
867,Nữ,Ha Giang,thích đi các hoạt động xã hội extrovert thích tham gia các hoạt động xã hội là 1 ng ít nói hướng nội cà thích ở 1 mình,sprite fanta vị nho : d cơm tấm bún bò,thích đánh cờ thích chơi với chó mèo hacking,không,đồng cảm đặc biệt là tam quan đúng đắn,7,8
8550,Nữ,Hau Giang ,là người hướng nội 1 tháng chắc 1-2 lần) để giao lưu hướng nội 35% ở nhà hướng nội ra đường hướng ngoại 🙄,mình thích ăn bánh tráng cuốn bò nea không đặc biệt yêu thích gì táo,thích chill thích đá bóng trí tuệ như nhau nên điều đó cũng là một sự thú bị vẽ tranh chính trị,không,mong muốn được ở cùng với người có sở thích khoa học với mình tính cách thẳng thắn nhưng không vô duyên sinh hoạt cú đêm giống mình hihi thằng bạn thích hút thuốc,10,8
3748,Nữ,Son La,thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ,no mình thích ăn bánh tráng cuốn ăn đồ cay,chơi cờ vua xem anime,không,người sòng phẳng hoạt bát người hài hước có thể hoạt bát nhưng im lặng lúc cả phòng đang làm việc nhưng đừng quá ồn ào.,9,7
7020,Nam,Binh Duong,chia sẽ bán hướng nội ambivert giống ví dụ,bún cá các món ăn có nước canh trứng cà chua snack bim bim,tắm (2l/ngày) nằm dài nghe nhạc xem các show giải trí thực tế tìm hiểu những kiến thức đa ngành,không,im lặng nhiều chuyện ko so đo cùng nhau đi chill đừng nói quá nhiều,7,10
7908,Nam,Tra Vinh,người hướng nội cởi mở hướng nội part time là người hướng nội part time khó giao tiếp,"đồ cuốn
pepsi cháo gà đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. nước ngọt có ga",kpop lướt mxh tiếng anh,không,người vui vẻ nhường nhịn biết như thế nào là bất lịch sự vui tính hài hước cùng ngành thích các hoạt động nhóm,7,7
8855,Nữ,Ha Giang,dễ hòa nhập yêu thiên nhiên là người thích ở một mình,mỳ cay 0 độ cơm bò xào,tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. lập trình thử nhiều điều mới thích khám phá xung quanh,không,năng động vui tính có ý thức giữ vệ sinh chung,7,9
7343,Nữ,Binh Duong,người hay thay đổi vui tính người thân,sandwich,tâm lí học,không,trầm tính học giỏi hoạt bát,5,7
5014,Nữ,Phu Tho,hòa đồng,bánh gạo món ăn health nước rau má thích đồ chiên đồ cay hàn quốc,thích học ngôn ngữ anh thích khám phá xung quanh đàn hát,không,biết đúng sai vui tính vui tính. hiền lành,7,9
282,Nam,Bac Lieu,cực đoan ít nói hướng nội khác trầm hướng nội khi không có ai,coca cola… không có cụ thể thích 1 món ăn hay đồ uống nào eat-clean ăn đồ ăn nhanh,ko thích bị ép buộc chụp ảnh tập thể dục ngoài trời chính trị,không,không soi mói v.v lanh lợi,8,8
7260,Nữ,Tien Giang,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ thích khám phá mình là một người hướng nội,các món nhật, lướt mạng,không,biết tôn trọng người khác,9,10
8748,Nữ,Quang Nam,đôi lúc hướng ngoại làm quen nhiều bạn mới,rau củ ăn cơm gia đình tự nấu sâm bổ lượng pizza bim bim,đi tập thể dục thích nhảy tắm (2l/ngày),không,chăm chỉ làm việc nhà ít nói thân thiện,8,7
2478,Nam,Bac Lieu,có lòng tự trọng người suy nghĩ nhiều độc lập nhưng vẫn hoà đồng là người hướng nội,các món nhiều gia vị fanta vị nho : d các loại bạn fanta,đọc tiểu thuyết,Có,thấu hiểu không có ạ là một người biết cách bắt đầu câu chuyện tại vì mình ít nói áp đặt sở thích,8,5
5584,Nữ,Thai Binh,ít nói nhưng hay chia sẻ với mn,bánh canh mì quảng nước ngọt miễn là nước ngọt có ga,xem bóng đá tắm (2l/ngày),không,lắng nghe có cùng sở thích là một điểm cộng quan tâm không nói xấu sau lưng cẩn thận,10,10
6891,Nữ,Hoa Binh,hướng ngoại khi cần thiết,thích hamburger  fastfood bông lan trứng muối ỏi,thích hát nhạc cụ ngủ game yoga,không,ăn nhiều o cuộc sống của nhau. không phán xét chăm chỉ làm việc nhà người hiểu chuyện,8,10
4354,Nữ,Hoa Binh,là một người 2 hướng ambivert thích tham gia các hoạt động xã hội tình cảm,coca-cola salad đồ ăn: các món nước (bún không đặc biệt yêu thích gì củ,e thik chơi cầu lông đi cắm trại xe cộ đi dạo ngắm cây,không,"thích nói chuyện tự cho mình là đúng. toi khong có roommate nói ít 
<3",6,8
6962,Nữ,Hoa Binh,cầu toàn quan tâm người khác thích tự lập,mỳ trộn fanta,bói tử vi đi cắm trại,không,mình mong muốn được ở cùng một người thích tìm hiểu những điều mới lạ tiền bạc rạch ròi tính giống mình,8,9
3368,Nữ,Quang Ngai,không thích ồn ào thích kết bạn hướng nội tích cực,bia,bóng bàn linux,không,mình thích bạn cùng phòng hoà đồng xinh đẹp không cùng cũng không sao đồng cảm k ồn sau 11h,8,8
6333,Nam,Tien Giang,nhưng hướng nội với người lạ một người hướng ngoại làm biếng,bột sò,vẽ... coding khám phá xung quanh,Có,không thích chung phòng dễ gần tôn trọng không gian riêng tư của người khác biết lắng nghe/ tôn trọng lẫn nhau,10,10
2141,Nam,Phu Tho,ưa mạo hiểm là một người khiêm nhường là một người nội người đang học trường fpt,ốc lẩu,bơi đàn guzheng,không,dùng đồ của ng khác thì phải biết mượn có giúp đỡ chăm chỉ làm việc nhà chung ngành sạch sẽ không vô duyên,8,7
4023,Nữ,Thanh Hoa,thích đi đâu đó hướng ngoại partime dễ tính vui vẻ,món ăn health coca,đọc truyện tranh tin khoa học toán viết lách thich chơi thể thao võ,không,học chung ngành vui tính náo nhiệt thích đi chơi khắc kỷ,8,8
207,Nam,Ha Giang,thích đi chơi với bạn bè,nhật cơm đậu hũ dồn thịt xốt cà bánh mì... bò né,lưới fb thích học thích code đi du lịch coding,không,trầm tính học giỏi hoạt bát,7,10
6198,Nam,Bac Lieu,tính cách thất thường hoà đồng với mọi người tùy lúc người hướng ngoại,phở xào nước ép thơm sữa chua mít,...),không,"dễ tính... respect private space and friendly is good biết cư xử
nói ít thôi
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b cầu tiến ở sạch sẽ",9,8
4879,Nữ,Binh Dinh,hay giận vu vơ đôi khi ko thích chia sẻ nhiều lắm,các thế loại mì đốc cơ thanh . bánh tàu hủ. các món nướng như cơm sườn canh kim chi ăn cơm,bới lội xem mv ca nhạc xem phim ios,Có,vui tính.,8,7
1131,Nữ,Hoa Binh,nhộn nhịp tôi là một người ít nói thích đám đông,"bột sò ăn đồ ngọt uống nước ngọt đồ cuốn
pepsi không quá kén chọn pizza",viết lách chơi cầu lông,không,mình chỉ cần người đàng hoàng biết tôn trọng người khác nề nếp,8,9
8535,Nam,Long An,dễ thương cực đoan,mì udon cơm chiên cafe nước cam fanta vị nho : d,mình còn có thể chơi cầu lông nữa game mobile bóng rổ,không,để ý tiểu tiết (theo hướng tích cực),10,6
3602,Nam,Soc Trang,vui vẻ hoà đồng là 1 ng ít nói hướng nội cà thích ở 1 mình ít nói với người lạ,nước ép thơm các loại thịt nướng trà olong,nghệ thuật gym học ngoại ngứ bói toán,không,mạnh mẽ,9,10
903,Nữ,Nam Dinh ,hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không hiền hoà mình là một người khá rụt rè khi ở một mình. thích đi lang thang một mình,ăn đồ ăn nhanh thích đồ healthy dưa hấu mỳ tôm,ngắm bầu trời học tiếng nhật,không,có ý thức giữ vệ sinh chung không thích ai có tính cách bảo thủ dùng đồ của ng khác thì phải biết mượn,7,10
