,Name,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
90,90,Nữ,Binh Dinh,tình cảm muốn một mình nhưng sợ cô đơn hướng nội nữa mùa,sữa chua mít đùi gà bún nước lèo,lưới fb đọc sách thích chơi cầu lông xem tin tức công nghệ,không,ocd càng tốt. không quá tính toán hơn thua vui tính náo nhiệt thích đi chơi hiền,8,9
91,91,Nam,Lao Cai,hướng ngoại vui vẻ hòa đồng lúc này lúc kia,uống trà sữa,thích đọc sách …. ko thích bị ép buộc badminton,Có,người sòng phẳng khắc kỷ không care lắm,10,7
92,92,Nam,Lao Cai,huong noi va thich o mot minh,nước trà cơm gà,xem mv ca nhạc,không,tâm lý =))) thoải mái ocd càng tốt. không quá tính toán hơn thua đừng quá bừa bộn,9,8
93,93,Nữ,Kien Giang,chia sẽ nóng nảy - ưu tư,đồ ăn chay bún chả bột sò mình thích ăn bánh tráng cuốn,kiếm tiền tắm (2l/ngày) đi tản bộ,không,để cùng nhau nói chuyện sạch sẽ một chút học tốt,8,7
94,94,Nam,Thai Binh,thường thích ở một mình nói rất nhiều lắng nghe hay dài dòng hướng nội thích không gian yên tĩnh,udon nước trà (như c2 mỳ tôm coca món nào hợp khẩu vị thì mình ăn,kiếm tiền,không,biết chia sẻ vui vẻ nhiệt tình ý thức,8,5
95,95,Nữ,Dien Bien,đôi khi hướng ngoại,các loại thức ăn nhanh bún rêu bánh cuốn,"đi mua sắm

không thích: chạy bộ tâm lý học nói chuyện cùng bạn bè vân vân...",không,ở sạch sẽ cẩn thận hiểu lễ phép giống tính cách càng tốt nhưng k nên là bạn thân,10,7
96,96,Nam,Vung Tau,bạn bè. hay dài dòng hướng ngoại với người quen,xôi bánh gạo các món nướng bún chả,đánh bóng bàn làm gốm toán,không,mạnh mẽ không thích ai có tính cách bảo thủ k ồn sau 11h người vui vẻ ồn ào đúng lúc đúng chỗ,8,7
97,97,Nam,Ha Giang,nửa nội nử ngoại ngăn nắp dù hay bày bừa (xong rồi dọn ngay),đồ chiên mình thích uống trà sữa đốc cơ thanh . khô các loại không độ),mình còn có thể chơi cầu lông nữa tâm lý học dọn dẹp,không,bạn cùng phòng biết lùa gà cẩn thận,6,8
98,98,Nam,Quang Nam,ambivert nói rất nhiều hơi hướng nội,bánh plan cơm chiên trứng,nằm dài nghe nhạc thích chơi game offline,không,.. khắc kỷ,10,8
99,99,Nam,Ca Mau,là một người hướng ngoại nói nhiều,hoành thánh sữa tươi trân châu đường đen quả thức ăn gì ngon đều yêu thích,bơi lội thích đọc hacking,không,có thể là người hoạt bát giống mình hoặc ít nói nhưng biết lắng nghe. sạch sẽ ngăn nắp,10,8
100,100,Nam,Soc Trang,,đặc biệt là mì cay bạc sỉu,thường thức tác phẩm nghệ thuật mình còn có thể chơi cầu lông nữa mình thích hát coding đi phượt,không,vui vẻ hòa đồng chung ngành học người trung thực nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc sống thoáng biết tôn trọng,8,10
101,101,Nam,Hoa Binh,thích một mình không thích giao tiếp với người lạ dễ chịu,snack khoai tây bánh chuối chiên,thiện nguyện quay tik tok,không,thích nói chuyện,8,9
102,102,Nam,Binh Thuan,là người hướng lung tung,đặc biệt là chè không độ) come gà,đàn chơi game,không,người chịu chia sẻ cảm xúc của bản thân. học giỏi (chung ngành càng tốt) chung ngành sạch sẽ trật tự,7,7
103,103,Nữ,Thanh Hoa,ngày ngủ đêm bay là người ít nói chuyện nhưng không phải e sợ đám đông hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không,thích ăn bánh mì,thích chơi với chó mèo em thích chơi nhạc cụ văn học,không,có tính tự giác,9,10
104,104,Nam,Hung Yen,là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ hướng nội 35%,eatclean fanta cà phê sữa ăn hải sản,phim anh văn du lịch ….,không,tôn trọng quyền riêng tư của mọi người ko ồn ào với phá phách là được thống minh,10,9
105,105,Nam,Quang Tri,.... nhưng thích trải nghiệm điều mới nhưng vẫn hoà đồng hay dài dòng,...; các loại thức ăn truyền thống của miền nam như bánh xèo nước thảo mộc thích ăn đồ cay,chụp ảnh android cầu long. trống,không,sòng phẳng tiền bạc. v.v,7,8
106,106,Nữ,Binh Phuoc,một người ít nói hướng nội thích giao lưu sống lowkey,trà đá trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn các loại đồ ngọt như chè,tập thể dục ngoài trời trí tuệ như nhau nên điều đó cũng là một sự thú bị cờ vua,Có,người không nói quá nhiều hoà hợp,8,10
107,107,Nữ,Bac Lieu,hướng ngoại khi cần thiết mình ambivert,bánh tàu hủ. các món nướng như cơm sườn canh kim chi gà hấp nước mắm,tiếng anh ..,không,bình thường vui vẻ - hài hước tôn trọng quyền riêng tư của mọi người,9,7
108,108,Nam,Hoa Binh,riêng tư,chả giò,đi dạo âm nhạc mình thích hát tâm lí học,không,người vui tính có đạo đức biết quan tâm chung ngành học,8,7
109,109,Nữ,Tay Ninh,muốn một mình nhưng sợ cô đơn sạch sẽ mình là người thích đi đâu đó mình là một người hướng ngoại,bò né cơm trộn,đi cắm trại cà phê,không,thoải mái cẩn thận,6,7
110,110,Nữ,Hai Duong,hướng ngoại thích giao tiếp vui vẻ hoà đồng là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime hướng ngoại nhung thích ở một mình thích đi dây đó,bánh bèo,đá cầu holywood bơi lội chạy bộ,không,dẫn tiếp xúc cá tính respect private space and friendly is good,7,8
111,111,Nam,Binh Phuoc,hướng ngoại khi cần thiết thích giao tiếp người đang học trường fpt hướng nội với người ngoài khó chịu,thức ăn có vị cay gà rán quả trà ô long,xem anime,không,người có ý thức gọn gàng sạch sẽ. rạch ròi về tiền bạc thích nói thật,9,7
112,112,Nam,Khanh Hoa,nhưng không phải e sợ đám đông hòa đồng không thích đám đông lắm nhưng dễ hòa nhập,nước dừa dưa hấu hủ tiếu nam vang gà phô mai,ko thích khoa học,không,gọn ràng sạch sẽ người hài hước người chịu chia sẻ cảm xúc của bản thân. đồng cảm,7,9
113,113,Nam,Binh Phuoc,có lúc hướng nội là người ít nói,pizaa ...,chơi bóng rổ đu otp,không,hoạt bát vui tính biết chia sẻ khi ở chung với nhau,8,9
114,114,Nữ,Vinh Long,một người hướng nội ko thích đi chơi thích tham gia các hoạt động xã hội khá hướng nội. thích sạch sẽ hướng nội khi không có ai,quả fanta olong,phim hành động tháo chơi thiên văn học uống cà phê,không,có ý thức trưởng thành vui tính. nhiệt tình ,5,8
115,115,Nữ,Nam Dinh ,hướng nội nhưng thích đi chơi đôi lúc hướng ngoại đôi lúc hướng nội hướng ngoại 65% một người hướng ngoại với bạn bè quyết đoán,trà dâu,ngoại ngữ lưới fb,không,vì mình khá kỹ tính nên mong tìm đc người bạn cùng phòng gọn gàng đánh giá,8,8
116,116,Nam,Lam Dong,là một người hướng ngoại nói nhiều thẳng tính ngày ngủ đêm bay,moutain dew nước thảo mộc hải sản nước bún trộn các loại đồ ngọt như chè,bơi lội,không,nếu chung sở thích thì càng tốt năng động biết nghĩ cho người khác. k ồn sau 11h ăn xong nhớ dọn,9,8
117,117,Nam,Tra Vinh,có lúc hướng nội trung lập cực đoan thích ở một mình- lúc thích nói chuyện nhiều người ,chỉ thích cafe phin đồ ăn: các món nước (bún đồ ăn healthy các món nhiều gia vị lẩu cá đuối,xe cộ ko thích gì hết thường hay quan tâm những tin tức về nó thích chơi bóng rổ,không,đẹp người không nói quá nhiều chung ngành sạch sẽ gọn gàng. không ích kỷ,5,8
118,118,Nam,Tien Giang,hướng nội ít nói nhưng hoà đồng thân thiện,mình rất thích ăn đồ ăn cay mì xào,xem mv ca nhạc sở thích của mình là thay vì thoát khỏi áp lực tò mò về cách vận hành của xã hội,không,mong muốn được ở cùng với người có sở thích khoa học với mình ít nói thân thiện chia sẽ,5,9
119,119,Nữ,Hai Duong,vui vẻ thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người có phần hơi thích kiểm soát thích một mình nhưng lại sợ cô đơn e là một người khá tự ti,thức ăn có vị cay sữa tươi trân châu đường đen nước rau má chỉ cần không cay là được cheese fries,nghe nhạc game online e thik chơi cầu lông,không,phải sạch sẽ,10,9
120,120,Nữ,Ha Tinh,ghét sự cô đơn mình ambivert thích được đi chơi,đồ hàn cà phê sữa...,mình thích chạy bộ học công nghệ đồ ăn ngọt thích nghe nhạc đá bóng,không,người vui tính hòa,8,8
121,121,Nữ,Son La,là một người thiếu ngủ hướng lung tung lowkey tình cảm,xoài chua chấm muối ớt chua lè mỳ quảng cơm ngon còn bánh bao hơi dở,thích học bài mình thích ngôn ngữ tâm lý học tìm hiểu những kiến thức đa ngành thích tranh biện,không,ngăn nắp là được,7,7
122,122,Nam,Bac Lieu,ít bạn chung chung là người hướng lung tung mình là một người hướng ngoại,trà ô long mỳ hoành thánh bánh mì kẹp các loại ăn đồ tự nấu,xem mv ca nhạc thích chơi game đi chơi nghe nhạc xem phim đi lượn đường,Có,bình đẳng trầm tính để ý tiểu tiết (theo hướng tích cực) không thích chung phòng,10,6
123,123,Nữ,Binh Phuoc,độc lập hướng nội nhưng thích đi chơi,ăn được uống được cơm người yêu nấu,thích hút thuốc tìm hiểu những kiến thức đa ngành võ bị người ta lùa gà tâm lí học,không,sạch sẽ không bừa bộn,8,9
124,124,Nam,Thanh Hoa,khá hướng nội. thích sạch sẽ đôi lúc hướng ngoại đôi lúc hướng nội náo động vùng trời :) hoà đồng với mng mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân,đồ ăn vặt hoặc đồ hàn thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua sữa chua mít cơm bò xào,xem phim đặc biệt là thích nhạc của sơn tùng m-tp,không,vui tính hài hước hoạt bát,8,8
125,125,Nam,Hoa Binh,khá hòa đồng hướng ngoại ít nói thích ở một mình là người thích ở một mình thích giao tiếp bình thường,ăn được uống được,ko tin học,không,thích những bạn hoạt bát nhiều chuyện ăn mặc ổn mình thích người cùng phòng vui tính hòa đồng,7,9
126,126,Nữ,Nam Dinh ,thích suy diễn mọi chuyện trên đời dễ chịu,bò nướng đồ gì có vị cay thích ăn mì cay khoai lang lắc nước cam,các hoạt động phải chạy chăn nuôi,không,thích công nghệ,8,8
127,127,Nam,Quang Ngai,nhộn nhịp,sữa chua mì trộn ăn đồ tự nấu,tiêu tiền. cờ vua gym thích xem phim chơi game,không,không tự tiện giữ vệ sinh nhà cửa sạch sẽ,9,7
128,128,Nữ,Lao Cai,tôi là một người hoạt bát hướng nội part time tùy lúc cần cù là một người ít nói,trà đào thạch sữa cơm chiên,chiêm tinh thiện nguyện uống cà phê holywood tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,không,sạch sẽ ngăn nắp đừng ham chơi 🤡 vì mình sẽ chơi cùng,9,7
129,129,Nam,Ca Mau,hướng ngoại part-time,bún riêu paparoti hủ tiếu xào,xem mv ca nhạc du lịch cùng bạn,không,"không có ạ có cùng sở thích là một điểm cộng nói ít 
<3",8,5
130,130,Nữ,Dak Nong,thích đi ra quán cafe để học bài,drink: (ưu tiên) nước lọc kẹo cháo lòng quả củ,thích chơi suốt ngày âm nhạc,không,ở sạch sẽ  người vui vẻ nhường nhịn biết như thế nào là bất lịch sự dễ gần ăn mặc ổn,10,9
131,131,Nữ,Bac Lieu, thích được đi chơi là một người hướng ngoại nói nhiều thích 1 mình,không độ) sushi các loại trà trái cây,mình thích chạy bộ vân vân... học hóa,không,trúa hề tính cách thẳng thắn nhưng không vô duyên người vui tính biết làm việc nhà giống mẹ thì càng tốt hoạt bát…,9,8
132,132,Nữ,Tien Giang,người hướng ngoại hướng nội trầm tính.,phô mai kéo sợi xúc xích đồ hàn canh cải củ,yoga android,không,hòa đồng,9,9
133,133,Nam,Tra Vinh,tính cách thất thường hòa đồnh,những món có vị chua mì xào,thích khoa học đánh bóng bàn coi phim anime thích vẽ tiêu tiền.,không,vui vẻ hòa đồng không ích kỷ ăn ở sạch sẽ vui vẻ - hài hước,8,9
134,134,Nữ,Thanh Hoa,một người nửa hướng nội thẳng tính dễ ngại là một người ít nói hướng nội dễ chịu,bún nước lèo đùi gà bún ốc,đếm tiền môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính ngủ coi phim ăn,Có,dễ thương không ích kỷ chăm chỉ dẫn tiếp xúc,10,8
135,135,Nam,Ninh Binh,người suy nghĩ nhiều nhưng lúc high thì lại muốn nói rất nhiều riêng tư vui tính thích một mình,thích đồ tự nấu mặn,học hỏi thể hình đông y coi phim hoạt hình mình thích đọc tiểu thuyết và truyện tranh,không,có thói quen dọn dẹp ăn ở sạch sẽ thật sự như mình nói trên miễn bạn cùng phòng biết nói chuyện là được :) tốt bụng đừng ham chơi 🤡 vì mình sẽ chơi cùng,5,10
136,136,Nam,Binh Thuan,ghét sự cô đơn thích tìm hiểu những điều bí ẩn,bánh tép bánh canh . các loại thức ăn nhanh bánh cam,thích những gì cần tư duy logic choi game cũng không biết thích gì,không,đi chơi bên ngoài. ngăn nắp là được lanh lợi,8,8
137,137,Nữ,Ca Mau,không thích nơi đông người thẳng tính đôi khi hướng nội,hủ tiếu bánh chuối chiên mì gói sushi thích đồ healthy,tháo,không,cùng nhau đi chill ăn ở sạch sẽ,10,7
138,138,Nam,Dak Nong,xàm hướng nội nhưng thích đi chơi,e thik ăn các loại bánh mỳ tôm chiên thịt kho tàu,tháo,Có,quan tâm gọn gàng sạch sẽ. rạch ròi về tiền bạc,7,10
139,139,Nam,Binh Phuoc,thích một mình nhưng lại sợ cô đơn khó giao tiếp cực đoan thích thử thách độc lập,đặc biệt là chè,xem phim,Có,có tri thức về y khoa cùng các lĩnh vực xã hội khác không tự tiện người biết lắng nghe,9,8
140,140,Nữ,Binh Phuoc,có lòng tự trọng ít nói hướng nội là một người hướng nội thích ở một mình ưa mạo hiểm thích 1 mình,đồ cay hoặc các loại nước có gas bò kho,pha chế mua sắm chiêm tinh học,không,người vui vẻ để cùng nhau nói chuyện vui vẻ thích nói thật,9,9
141,141,Nam,Ha Giang,cầu toàn không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì lười làm việc nhà,phở xào,ko thích gì hết thích ngồi lướt mạng xh cả ngày bói tử vi chơi,không,dễ dãi gọn gàng sạch sẽ cái tôi lớn),8,9
142,142,Nam,Binh Phuoc,hướng nội thích không gian yên tĩnh thích đi chơi với bạn bè hướng ngoại ít nói thích ở một mình ít nói nhưng thích đám đông hướng nội ít nói nhưng hoà đồng thân thiện,.... socola ngọt ngào có chút đắng pizza phô mai kéo sợi xúc xích đồ hàn,hacking thích đánh cờ,không,có cùng sở thích là một điểm cộng,7,8
143,143,Nữ,Lao Cai,một người hoà đồng thích,bánh chuối chiên thích đồ healthy mứt; các loại món nước như hủ tiếu red bull thích ăn vặt,esport đi coi phim hóng drama nhạc cụ,không,... rõ ràng,8,9
144,144,Nam,Ha Tinh,mình là một người hướng ngoại cá tính mạnh,gà rán hay đồ chiên thích ăn đồ ăn của mẹ với cậu nấu. thích nhất là canh khổ qua,tin học thích đánh cờ bơi quay tik tok,không,ít nói thân thiện giữ vệ sinh nhà cửa sạch sẽ,9,8
145,145,Nữ,Vung Tau,ít nói hướng nội hướng nội part time vui nhộn,không uống nước ngọt có ga cơm nhà kem món ăn health nem nướng,các hoạt động xã hội thích đi karaoke,Có,cùng sở thích,1,8
146,146,Nữ,Lao Cai,chung chung sống tình cảm vs chăm chỉ nhưng e hơi chậm so vs bạn bè cùng tuổi về sự linh hoạt,cà phê lẩu kim chi,học hỏi đi dạo ngắm cây ...) đạp xe đạp thích đọc truyện,không,tôn trọng quyền riêng tư của mọi người freedom,8,8
147,147,Nữ,Ben Tre,thích kết bạn tham công tiếc việc,ăn đồ ăn nhanh bún bò bia c2 thích ăn đồ việt nam,dọn dẹp,không,có thể là người học mỹ thuật hay kinh tế không dùng đồ mà chưa xin phép tính khôn lỏi,8,7
148,148,Nam,Hoa Binh,mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác thích được đi chơi dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều. vui vẻ… hoặc có backup),coca cola bánh chuối chiên bánh ngọt chill bánh bột lọc,nhảy,không,hoà đồng hoạt bát sạch sẽ,10,8
149,149,Nữ,Quang Nam,thích đi dây đó hướng ngoại partime là một người khá là trầm tư có lòng tự trọng,trừ những món liên quan tới cá ; các dòng nước ngọt đều thích nước trà các loại mì,thích đi bộ các hoạt động xã hội đạp xe mac os,không,ham chơi giỏi có chí cầu tiến nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc tiền bạc rõ ràng,10,8
150,150,Nữ,Ben Tre,dễ tính có phần hơi thích kiểm soát khá hòa đồng dễ bắt chuyện tôi là một người ít nói,sữa milo,thích bơi thích xem tivi cầu lông,Có,có đạo đức 1 người vui tính khong co tôn trọng ý kiến của nhau,7,7
151,151,Nữ,Phu Tho,hướng nội thích ở 1 mình,bánh khọt ăn đồ ngọt uống nước ngọt thích ăn món mì cay,xem phim văn học decor phòng,không,o cuộc sống của nhau. không phán xét nhiệt tình vs mn,6,8
152,152,Nam,Bac Lieu,tích cực thích sạch sẽ ít nói với người lạ,"mì nước lọc thịt kho tàu 1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",lịch sử thích tranh biện thích xem phim android xem anime,không,nói nhìu hoà đồng cùng sở thích không có ạ phải sạch sẽ lắng nghe,8,7
153,153,Nữ,Vinh Long,hay giận vu vơ là người thích ở một mình người đang học trường fpt hướng nội thích ở một mình,sushi coca cola cá tra nhúng giấm gà phô mai,học lập trình,không,sinh hoạt cú đêm giống mình hihi ... k ồn sau 11h tâm lý =))) khắc kỷ,7,8
154,154,Nam,Lao Cai,thích suy diễn mọi chuyện trên đời,thích ăn,ngôn ngữ kĩ thuật nghe nhạc,không,vui tính không thích chung phòng tích cực với cuộc sống khắc kỷ,10,5
155,155,Nam,Hoa Binh,ngăn nắp dù hay bày bừa (xong rồi dọn ngay) thích ở một đám,uống trà sữa bún mắm bún riêu tôm chiên,phụ kiện công nghệ tấu hài,không,vui vẻ hòa đồng chung ngành học,8,8
156,156,Nữ,Ninh Thuan,khác trầm cũng hơi hướng ngoại,các loại bún gà hấp nước mắm nước ép eat-clean,đi du lịch tâm lý học mình thích đọc tiểu thuyết và truyện tranh,không,sạch sẽ hoà đồng vui vẻ trung thực bình đẳng đánh giá .. người không nói quá nhiều,5,10
157,157,Nữ,Lao Cai,là một người khiêm nhường cầu toàn,bánh sữa đậu nành ăn đồ tự nấu hủ tiếu sữa tươi trân châu đường đen,thiết kế tìm hiểu về văn hóa các nơi đi cắm trại,không,thân thiện tính tình vui tính có tình nghĩa huynh đệ siêng năng,5,7
158,158,Nam,Vung Tau,sáng nắng chiều mưa ở nhà hướng nội ra đường hướng ngoại 🙄 khá hướng nội. thích sạch sẽ khá hòa đồng dễ bắt chuyện,cháo lòng mỳ hoành thánh phô mai kéo sợi xúc xích đồ hàn,thích đá bóng học tiếng nhật thần số học pha chế,không,mạnh mẽ tiết kiệm một chút,9,7
159,159,Nam,Ha Nam,thích ở một mình- lúc thích nói chuyện nhiều người vui vẻ hoà đồng hiểu biết. thích một mình quyết đoán,đùi gà,call điện thoại anh văn,không,ngành công nghệ thông tin không cùng cũng không sao ăn nhiều gọn gàng sạch sẽ vui vẻ hoà đồng nhưng tôn trọng không gian cá nhân của nhau,7,7
160,160,Nữ,Hung Yen,mình là một người thích vẽ năng động mình hk thích sự gượng ép có quy tắc riêng thích trò chuyện thích cứ gái,........; nói chung là mình thích ăn rất nhiều món :3 bò kho nước ngọt có ga,tin học cầu long.,không,học giỏi 1 chút (nhưng không tự cao người hòa đồng chủ động biết nhậu,10,9
161,161,Nữ,Ninh Thuan,hiền hoà khá hòa đồng dễ bắt chuyện tự do 50% hướng ngoài vui vẻ…,eat-clean đồ bình dân hoi.,hội hoạ,không,sẵn sàng quan tâm chia sẻ giống tính cách càng tốt nhưng k nên là bạn thân trúa hề biết đúng sai dễ bắt chuyện,7,5
162,162,Nam,Hoa Binh,hướng ngoại với người quen nói nhiều hướng ngoại thích đi đây đó,thịt kho tàu cơm chiên các loại phở bò cơm tấm mình thích ăn tất cả những gì mình thấy ngon. riêng đồ uống thì mình có niềm đam mê sâu sắc với rau má,xe cộ nhiều lắm . chơi được đa nghề :) thik chạy bộ gym,không,đừng quá bừa bộn tính giống mình,8,5
163,163,Nữ,Tien Giang,thích đi các hoạt động xã hội,sữa chua mít,học công nghệ xem các show giải trí thực tế ... chơi nhạc,không,..,10,7
164,164,Nữ,Phu Yen,nửa hướng ngoại mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác bình thường đam mê học tập,sandwich thích đồ chiên,đi dạo ngắm cây kiếm tiền nghệ thuật đi tản bộ đạp xe đạp,không,biết chia sẻ vui vẻ nhiệt tình ít nói thân thiện,9,10
165,165,Nam,Dak Lak,là một người hướng ngoại nói nhiều sạch sẽ,chỉ cần không cay là được pepsi vị chanh không calo bánh gai,thích đọc sách nghe nhạc xem phim đi lượn đường thích chơi bóng rổ,Có,không care lắm siêng,5,8
166,166,Nam,Hoa Binh,hoà đồng với mọi người ít nói,thích ăn mì tômmmmm kem ốc quế... thích ăn bánh mì,đọc truyện thể dục,không,chịu khó dọn dẹp,10,10
167,167,Nữ,Binh Dinh,cũng hơi hướng ngoại hướng nội nhưng thích đi chơi thích sạch sẽ thích tận hưởng không gian 1 mình hay dài dòng,........; nói chung là mình thích ăn rất nhiều món :3 mì cay trà sữa,thử nhiều điều mới thích chơi bóng rổ choi game đọc sách.. thích nghe nhạc,không,có chừng mực - vui vẻ có cùng sở thích là một điểm cộng tư vấn lẫn nhau,5,7
168,168,Nam,Hoa Binh,cá tính mạnh hướng ngoại. hướng ngoại part time,các loại bạn,android,Có,mình mong muốn được ở cùng một người thích tìm hiểu những điều mới lạ giống tính cách càng tốt nhưng k nên là bạn thân quan tâm mọi người cùng chuyên ngành/ sở thích ăn ở sạch sẽ,6,8
169,169,Nữ,Thai Nguyen ,hướng nội nữa mùa khá hòa đồng dễ bắt chuyện khá hòa đồng,bimbim mỳ trộn thích ăn những món ăn không quá đậm vị thích đồ ăn có trứng muối,tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. đánh cờ vua đá cầu,không,biết điều thoải mái là ổn lanh lợi,8,10
170,170,Nam,Thanh Hoa,nhưng ít nói thích tìm hiểu những điều bí ẩn khá hòa đồng dễ bắt chuyện lắng nghe,"món nào chay đều thích bánh tàu hủ. các món nướng như cơm sườn thích đồ healthy phở); thức uống: nước có ga redbull
không thích cafe gói",phim hoạt hình viết lách thích xem phim chơi đàn piano,Có,dễ dãi có thể đấu tranh với sự vô tâm ít nói của mình cẩn thận nhiệt tình vs mn,10,9
171,171,Nam,Thanh Hoa,có phần hơi thích kiểm soát nói rất nhiều không thích cảm giác 1 mình lắm nhưng đi với nhiều người thì không biết phải nói gì,sâm bổ lượng bị dị ứng hải sản có vỏ,thích chơi game,không,ý kiến của mình lên bạn cùng phòng,9,8
172,172,Nữ,Binh Dinh,em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time 50% hướng ngoài người đang học trường fpt đôi lúc hướng ngoại đôi lúc hướng nội lạc quan năng động,phở xào ăn pizza trà chanh,uống cà phê mình thích hát ngắm cảnh chiêm tinh học tiếng anh,Có,gọn ràng sạch sẽ chịu đi chơi với tôi tôn trọng quyền riêng tư của mọi người học tốt,8,8
173,173,Nam,Dong Thap,hoà đồng vui vẻ thích đông vui đam mê học tập cần cù áp dụng công nghệ mới,phở xào bánh bông lan dâu,đu otp chơi bóng rổ,không,biết tôn trọng người khác sạch sẽ hoà đồng vui vẻ trung thực tử tế sạch sẽ. o ban đêm,10,8
174,174,Nữ,Quang Ngai,hướng ngoại nhưng vẫn hoà đồng ít nói nhiều mình là ng dễ giao tiếp,......... bánh ngọt,hóng drama thích đi du lịch,không,có chừng mực - vui vẻ hoạt bát…,9,3
175,175,Nữ,Binh Phuoc,là một người nội,đồ ăn nhanh các loại thịt nướng,dân chơi hệ điều hành (windows cũng không biết thích gì thik chạy bộ thích nghe nhạc mua sắm,không,cùng chuyên ngành/ sở thích đi chơi bên ngoài.,10,7
176,176,Nữ,Thai Binh,một người vui vẻ hoà đồng với mng,bún bò phở hu tiu com tam phở bò,tham gia hoạt động ngoại khoá,không,ai kiềm t việc t chơi ngu hiểu chuyện. cùng ngành học không nói xấu sau lưng chùi dọn phòng,7,8
177,177,Nam,Binh Phuoc,hướng nội part time,thức ăn có vị cay ăn đồ ăn nhanh cơm chiên trứng,kiếm tiền phim hoạt hình học đi du lịch,không,ồn ào đúng lúc đúng chỗ vui vẻ thoải mái biết quan tâm,8,8
178,178,Nam,Bac Lieu,cọc cằn là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime không phải hướng nội nhưng không thích chỗ đông người,mình thích uống trà sữa trà chanh sữa trái cây,đọc truyện tranh cafe thích đọc truyện uống cà phê xem tv series,không,ngăn nắp khắc kỷ o ban đêm v.v,10,5
179,179,Nam,Binh Phuoc,hướng nội với người ngoài tìm người người làm đồ án tốt nghiệp chung. hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh) là người hướng lung tung thích sạch sẽ,sting cá tra nhúng giấm,đá bóng,không,học chung ngành,8,9
180,180,Nam,Lam Dong,kiểu người vui vẻ hoạt bát năng động nhưng hơi hướng nội một người hướng nội nhưng cũng thích xã giao với mọi người trầm trầm nhưng lúc cần vẫn vui hết mình,fanta mặn snack khoai tây,cà phê học ngoại ngứ tụ tập với bạn bè anh văn đàn,không,hướng nội gọn gàng sạch sẽ. rạch ròi về tiền bạc,7,6
181,181,Nam,Lao Cai,một người ít nói hướng nội,ức gà ăn đồ tự nấu pepsi vị chanh không calo đồ nhướng fast food,vi vu dạo phố thích tranh biện tìm hiểu những kiến thức đa ngành trí tuệ như nhau nên điều đó cũng là một sự thú bị thích khoa học,không,quan tâm bạn bè,6,9
182,182,Nam,Lao Cai,vui tính thích đi ra quán cafe để học bài hoà đồng nhưng cũng thích ở một mình mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác,đồ nướng bún rêu thích ăn đồ việt nam,diy.. travelling,Có,không quậy phá chăm chỉ làm việc nhà mong muốn có một người thích đánh cờ chung gu giải trí,7,7
183,183,Nam,Phu Tho,hướng nội ít nói hoà đồng với mọi người thích tìm hiểu,bún cá xoài lắc nước ép canh kim chi,đọc tiểu thuyết chơi nhạc tập thể dục ngoài trời lướt mxh,không,hoà hợp giống tính cách càng tốt nhưng k nên là bạn thân mình chỉ cần người đàng hoàng không quá nóng tính luôn ham học hỏi,10,7
184,184,Nam,Quang Binh,mình là người trung lập,paparoti mình rất thích ăn đồ ăn cay hầu hết các món con người dùng được phô mai kéo sợi xúc xích đồ hàn mắm chưng,dân chơi hệ điều hành (windows thích đi chơi với bạn bè tìm hiểu về văn hóa các nơi,không,người hiểu chuyện,6,9
185,185,Nữ,Ha Tinh,thích một mình nhưng lại sợ cô đơn hướng ngoại full time có lòng tự trọng thích ngoại giao,xoài lắc món nào mình thấy hợp thì đều thích ăn hủ tiếu,thích chơi với chó mèo cũng không biết thích gì,không,nhưng không làm phiền người khác hay nhờ vả. có thể nhanh chóng nắm bắt cảm xúc biết đều chung ngành sạch sẽ đừng quá bừa bộn,8,5
